Estonian Name,Latin Name,Category
1) kõre,Bufo calamita,I
2) rohe-kärnkonn,Bufo viridis,I
3) must-toonekurg,Ciconia nigra,I
4) väike-laukhani,Anser erythropus,I
5) merikotkas,Haliaeetus albicilla,I
6) madukotkas,Circaetus gallicus,I
7) väike-konnakotkas,Aquila pomarina,I
8) suur-konnakotkas,Aquila clanga,I
9) kaljukotkas,Aquila chrysaetos,I
10) kalakotkas,Pandion haliaetus,I
11) väikepistrik,Falco columbarius,I
12) rabapistrik,Falco peregrinus,I
13) rabapüü,Lagopus lagopus,I
13¹) niidurüdi,Calidris alpina schinzii,I
14) tutkas,Philomachus pugnax,I
14¹) kassikakk,Bubo bubo,I
15) habekakk,Strix nebulosa,I
16) siniraag,Coracias garrulus,I
17) lendorav,Pteromys volans,I
18) euroopa naarits,Mustela lutreola.,I
1) säga,Silurus glanis,II
2) tõugjas,Aspius aspius,II
3) harivesilik,Triturus cristatus,II
4) mudakonn,Pelobates fuscus,II
5) kivisisalik,Lacerta agilis,II
6) järvekaur,Gavia arctica,II
7) sarvikpütt,Podiceps auritus,II
8) hüüp,Botaurus stellaris,II
9) väikeluik,Cygnus columbianus,II
10) laululuik,Cygnus cygnus,II
11) soopart,Anas acuta (haudeasurkond),II
12) merivart,Aythya marila (haudeasurkond),II
13) kirjuhahk,Polysticta stelleri,II
14) väikekoskel,Mergus albellus,II
15) kanakull,Accipiter gentilis,II
16) metsis,Tetrao urogallus,II
17) väikehuik,Porzana parva,II
18) naaskelnokk,Recurvirostra avosetta,II
20) mudanepp,Lymnocryptes minimus,II
21) rohunepp,Gallinago media,II
22) mustsaba-vigle,Limosa limosa,II
23) kivirullija,Arenaria interpres,II
24) väikekajakas,Larus minutus,II
25) tõmmukajakas,Larus fuscus,II
26) räusktiir,Sterna caspia,II
27) tutt-tiir,Sterna sandvicensis,II
28) alk,Alca torda,II
29) krüüsel,Cepphus grylle,II
31) sooräts,Asio flammeus,II
32) karvasjalg-kakk,Aegolius funereus,II
33) jäälind,Alcedo atthis,II
34) roherähn,Picus viridis,II
35) valgeselg-kirjurähn,Dendrocopos leucotos,II
36) laanerähn,Picoides tridactylus,II
37) nõmmekiur,Anthus campestris,II
38) randkiur,Anthus petrosus,II
39) luha-sinirind,Luscinia svecica cyanecula,II
40) põldtsiitsitaja,Emberiza hortulana,II
41) veelendlane,Myotis daubentonii,II
42) tiigilendlane,Myotis dasycneme,II
43) tõmmulendlane,Myotis brandtii,II
44) habelendlane,Myotis mystacinus,II
45) Nattereri lendlane,Myotis nattereri,II
46) suurkõrv,Plecotus auritus,II
47) suurvidevlane,Nyctalus noctula,II
48) kääbus-nahkhiir,Pipistrellus pipistrellus,II
49) pargi-nahkhiir,Pipistrellus nathusii,II
49¹) pügmee-nahkhiir,Pipistrellus pygmaeus,II
50) suur-nahkhiir,Vespertilio murinus,II
51) põhja-nahkhiir,Eptesicus nilssonii,II
53) viigerhüljes,Phoca hispida.,II
1) atlandi tuur,Acipenser sturio;,III
2) harjus,Thymallus thymallus;,III
3) hink,Cobitis taenia;,III
4) võldas,Cottus gobio;,III
5) vingerjas,Misgurnus fossilis;,III
6) tähnikvesilik,Triturus vulgaris;,III
7) harilik kärnkonn,Bufo bufo;,III
8) rohukonn,Rana temporaria;,III
9) rabakonn,Rana arvalis;,III
10) veekonn,Rana esculenta;,III
11) tiigikonn,Rana lessonae;,III
12) järvekonn,Rana ridibunda;,III
13) arusisalik,Lacerta vivipara;,III
14) vaskuss,Anguis fragilis;,III
15) nastik,Natrix natrix;,III
16) rästik,Vipera berus;,III
17) punakurk-kaur,Gavia stellata;,III
18) väikepütt,Tachybaptus ruficollis;,III
19) hallpõsk-pütt,Podiceps grisegena;,III
20) valge-toonekurg,Ciconia ciconia;,III
21) valgepõsk-lagle,Branta leucopsis;,III
22) punakael-lagle,Branta ruficollis;,III
23) ristpart,Tadorna tadorna;,III
24) tõmmuvaeras,Melanitta fusca;,III
25) herilaseviu,Pernis apivorus;,III
26) must-harksaba,Milvus migrans;,III
27) roo-loorkull,"Circus aeruginosus; [RT I, 04.07.2014, 8 - jõust. 07.07.2014]",III
28) välja-loorkull,Circus cyaneus;,III
29) soo-loorkull,Circus pygargus;,III
30) raudkull,Accipiter nisus;,III
31) hiireviu,Buteo buteo;,III
32) karvasjalg-viu,Buteo lagopus;,III
33) tuuletallaja,Falco tinnunculus;,III
34) punajalg-pistrik,Falco vespertinus;,III
35) lõopistrik,Falco subbuteo;,III
36) laanepüü,Bonasa bonasia;,III
37) teder,Tetrao tetrix;,III
38) rooruik,Rallus aquaticus;,III
39) täpikhuik,Porzana porzana;,III
40) rukkirääk,Crex crex;,III
41) tait,Gallinula chloropus;,III
42) sookurg,Grus grus;,III
43) liivatüll,Charadrius hiaticula;,III
44) väiketüll,Charadrius dubius;,III
45) rüüt,"Pluvialis apricaria; [RT I, 04.07.2014, 8 - jõust. 07.07.2014]",III
46) meririsla,Calidris maritima;,III
47) vöötsaba-vigle,Limosa lapponica;,III
48) väikekoovitaja,Numenius phaeopus;,III
49) suurkoovitaja,Numenius arquata;,III
50) punajalg-tilder,Tringa totanus;,III
51) heletilder,Tringa nebularia;,III
52) mudatilder,Tringa glareola;,III
53) veetallaja,Phalaropus lobatus;,III
54) jõgitiir,Sterna hirundo;,III
55) randtiir,Sterna paradisaea;,III
56) väiketiir,Sterna albifrons;,III
57) mustviires,Chlidonias niger;,III
58) õõnetuvi,Columba oenas;,III
59) lumekakk,Nyctea scandiaca;,III
60) vöötkakk,Surnia ulula;,III
61) värbkakk,Glaucidium passerinum;,III
62) kodukakk,Strix aluco;,III
63) händkakk,Strix uralensis;,III
64) öösorr,Caprimulgus europaeus;,III
65) vaenukägu,Upupa epops;,III
66) väänkael,Jynx torquilla;,III
67) hallpea-rähn,Picus canus;,III
68) musträhn,Dryocopus martius;,III
69) tamme-kirjurähn,Dendrocopos medius;,III
70) väike-kirjurähn,Dendrocopos minor;,III
71) nõmmelõoke,Lullula arborea;,III
72) kaldapääsuke,Riparia riparia;,III
73) suitsupääsuke,Hirundo rustica;,III
74) hänilane,Motacilla flava;,III
75) kuldhänilane,Motacilla citreola;,III
76) vesipapp,Cinclus cinclus;,III
77) hoburästas,Turdus viscivorus;,III
78) vööt-põõsalind,Sylvia nisoria;,III
79) väike-kärbsenäpp,Ficedula parva;,III
80) punaselg-õgija,Lanius collurio;,III
81) hallõgija,Lanius excubitor;,III
82) koldvint,Serinus serinus;,III
83) männi-käbilind,Loxia pytyopsittacus;,III
84) kasetriibik,Sicista betulina;,III
85) pähklinäpp,Muscardinus avellanarius;,III
86) lagrits,Eliomys quercinus;,III
87) pringel,Phocoena phocoena;,III
88) ahm,Gulo gulo;,III
89) saarmas,Lutra lutra,III
90) hallhüljes,"Halichoerus grypus. [RT I, 2010, 69, 524 - jõust. 01.10.2010]",III
