Estonian Name,Latin Name,Category,EELIS link,strategy_present,strategy_file,Tüüp,Nimi ladina k,Nimi eesti k,Nimi inglise k,Rühm,Kaitsekategooria,Kirjeldus,Direktiivi lisad,Liigi ohustatuse hinnang,Ohutegurite kirjeldus,Liigi tegevuskava,"Kaitsealused alad, kus on kaitse eesmärgiks",Elupaik,Elupaiga seisund,Ohud,Populatsiooni muutused Eestis,Uuringud,Seisund ELis,Kokkuvõte,Analyze_by_sisukord,Kokkuvõte_text
mudatilder,Tringa glareola,III,https://infoleht.keskkonnainfo.ee/lnim/-234220185,False,EE905_mgt200114.pdf,Kaitsealune liik,Tringa glareola,mudatilder,Wood Sandpiper,Linnud,III kategooria,,Linnudirektiivi I lisa,6. Soodsas seisundis (25.03.2019),"Mudatildrit ohustab eelkõige elupaikade kuivendamine ja kuivenemine nii pesitsuspaikades (oode kuivenamine metsakuivenduse naabrumõjul ja turbakaevandamise tõttu), rändeaegsetes peatusaladel ja talvituspiirkondades (kliimamuutuste mõju).",,Ropka-Ihaste looduskaitseala (KLO1000633) Nätsi-Võlla looduskaitseala (KLO1000201) Lihula looduskaitseala (KLO1000747) Põhja-Kõrvemaa looduskaitseala (KLO1000598) Nõva looduskaitseala (KLO1000660) Nigula looduskaitseala (KLO1000213) Võrtsjärve hoiuala (Viljandi) (KLO2000173) Lavassaare looduskaitseala (KLO1000645) Tõhela-Ermistu looduskaitseala (KLO1000737) Alam-Pedja looduskaitseala (KLO1000455) Väinamere hoiuala (Läänemaa) (KLO2000241) Sookuninga looduskaitseala (KLO1000317) Marimetsa looduskaitseala (KLO1000215) Kõrvemaa maastikukaitseala (KLO1000265) Kõrgessaare looduskaitseala (KLO1000611) Väinamere hoiuala (Hiiu) (KLO2000340) Endla looduskaitseala (KLO1000174) Läänemaa Suursoo maastikukaitseala (KLO1000124) Kõnnumaa maastikukaitseala (KLO1000505) Alutaguse rahvuspark (KLO1000669) Tudusoo looduskaitseala (KLO1000277) Marimetsa-Õmma hoiuala (Läänemaa) (KLO2000151) Paljassaare hoiuala (KLO2000168) Pärnu lahe hoiuala (KLO2000286) Tõstamaa maastikukaitseala (KLO1000565) Järise hoiuala (KLO2000307) Sirtsi looduskaitseala (KLO1000076) Väinamere hoiuala (Saare) (KLO2000339) Võrtsjärve hoiuala (Valga) (KLO2000172) Audru poldri looduskaitseala (KLO1000632) Avaste looduskaitseala (KLO1000464) Väinamere hoiuala (Pärnu) (KLO2000300) Luitemaa looduskaitseala (KLO1000282),,,,,,,,False,"Mudatilder (Tringa glareola) on III kategooria kaitsealuseid liike. Mudatilder pesitseb suurtes rabades, enne ja pärast pesitsusaega on liik väga häälekas. Linnustiku inventuuril on selgunud mudatildri arvukus, pesitsuspaigad ja täiendavate kaitsemeetmete vajadus. Mudatildri asurkond on heas seisus ja Alam-Pedja LLA-l pesitseb 45-65 paari. Kaitsealal tuleb tagada piirangutest kinnipidamine, vajadusel piirata röövloomade arvukust. Linnustiku inventuuri tulemuste kohaselt pesitses 2010. a Põltsamaa rabas 20 haudepaari mudatildreid, Soosaare rabas 10 ja Umbusi rabas üks. Mudatildri elupaigad, sarnaselt teiste liigiga, vajavad kaitset rabade ja madalsoode säilitamise kaudu."
veetallaja,Phalaropus lobatus,III,https://infoleht.keskkonnainfo.ee/lnim/1130921182,False,A2%20Paljassaare%20kaitsekorralduskava%2C%20projektiala%2038.pdf,Kaitsealune liik,Phalaropus lobatus,veetallaja,Red-necked Phalarope,Linnud,III kategooria,"Veetallaja (Phalaropus lobatus) on Eestis lokaalse levikuga (teda on nähtud Matsalus, Saaremaa läänerannikul ja üksikutel saartel ning madalatel laidudel) kurvitslaste sugukonda kuuluv lind, kes kuulub looduskaitseseaduse alusel III kaitsekategooriasse ning kes on Eesti ohustatud liikide punase nimestikku (2008) kantud kui Eesti looduses hävinud liik. Praegu hinnatakse selle jääajajärgse relikti arvukust Eestis kuni viiele pesitsevale paarile, mis tähendab, et liik on Eestis harva esinev. Kolga lahe saartel on ta läbirände liik, registreeritud 2013. aastal Rammu saarel. Peamised veetallaja levikualad on tsirkumpolaarne Euraasia ja Põhja-Ameerika tundravöönd. Veetallaja peamiseks ohuteguriks on elutegevuseks sobilike veekogude ohustatus.",Linnudirektiivi I lisa,1. Piirkonnas välja surnud (01.03.2019),,,Endla looduskaitseala (KLO1000174) Väinamere hoiuala (Läänemaa) (KLO2000241) Kolga lahe maastikukaitseala (KLO1000495),,,,,,,,False,"Veetallaja (Phalaropus lobatus) on seotud Paljassaare hoiuala kaitse-eesmärkide ning linnustikuga. Hoiuala pindala on 277,9 ha, kus elavad ja pesitsevad mitmed linduliigid. Hoiuala kaitse-eesmärgiks on ka veetallaja, kes on avatud vetes levinud liik. Lisaks on hoiualal registreeritud ka teisi linnuliike, mis elavad sarnastes elupaikades, nagu näiteks mudatilder ja rüdid. Paljassaare linnuala looduslike väärtuste hoidmine ja türbiini harimise vähendamine on olulised, et säilitada veetallaja elupaigad ja tagada selle edasine liikumine ning areng."
lumekakk,Nyctea scandiaca,III,https://infoleht.keskkonnainfo.ee/lnim/888744485,False,Kassikaku%20kaitse%20tegevuskava.pdf,Kaitsealune liik,Bubo scandiacus,lumekakk,Snowy Owl,Linnud,III kategooria,,Linnudirektiivi I lisa,,,,,,,,,,,,False,"Lumekakk (Bubo scandiaca) on kakuliste sugukonda kuuluv lind, mille levik on peamiselt Põhja-Euroopas. Kassikakku (Bubo bubo) on üle kogu maailma levinud suur kakuline, Eestiski elab selle nominaatvorm. Kassikakkude liigirühmas eristatakse kuni 47 alamliiki, sealhulgas lumekakki. Euroopa kassikakupopulatsiooni suuruseks on 18 500–30 300 paari ehk nende arvukus on viimase paari aasta jooksul vähenenud, kuigi Edela-Euroopa asurkonnad on kasvanud. Lumekakkude populatsiooni koosseis ja arvukus on varieeruv ning Eestis hinnatakse nende arvukuse muutust alates 2000. aastast päevakorda toovate uuringute kaudu."
vöötkakk,Surnia ulula,III,https://infoleht.keskkonnainfo.ee/lnim/926114574,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Surnia ulula,vöötkakk,Northern Hawk Owl,Linnud,III kategooria,,Linnudirektiivi I lisa,8. Mittehinnatav (29.03.2019),,,,,,,,,,,False,
kodukakk,Strix aluco,III,https://infoleht.keskkonnainfo.ee/lnim/320216124,False,Lendorava_kaitse_tegevuskava_2023-2027_redigeeritud_versioon.pdf,Kaitsealune liik,Strix aluco,kodukakk,Tawny Owl,Linnud,III kategooria,,,4. Ohualdis (29.03.2019),"Kodukakku ohustavad eelkõige õõnsate puude eemaldamine parkidest jt. pesitsuspuistutest, pesaõõnsuste kokkukasvamine, lindude hukkumine elektriliinides ja kokkupõrked autodega maanteedel. Pesitsusajal hukkub kurnasid ja pesakondi ning samuti vanalinde oma arvukust mitmekordistanud metsnugise rüüste tagajärjel (Lelov 2018). Ohutegurina on märgitud ka pestitsiidide kasutamist põllumajanduses (IUCN Red List).",,Jööri must-toonekure püsielupaik (KLO3001951) Puhtu-Laelatu looduskaitseala (KLO1000176) Põduste-Upa hoiuala (KLO2000323) Haavassoo looduskaitseala (KLO1000625),,,,,,,,False,"Kodukakk (Strix aluco) seondub mitmesugustes kontekstides lendoravate elupaikade ja kisklusriskidega. Lendorav võib sattuda kodukakkude, metsnugiste ja kodukasside saagiks, mis suurendab kiskluskoormust ja ohustab lendorava populatsiooni. Lendorava kaitse nõuab teadlikkust, et händkakkude ja kodukakkude kohalolek võib mõjutada lendoravate elutingimusi ning kiskluse survet. Samuti on oluline jälgida lendorava ja kodukaku kooseksisteerimise tõenäosust elupaikade kvaliteedi languse tõttu, mis tuleneb elupaikade hävimisest ja killustumisest. 

Lendorava elupaikade suurenev killustatus ja isolatsioon tähendab, et nad on lühemate kauguste tõttu kodukakkude ja teiste röövloomade jaoks kergesti kätte saadavad, seega on kisklus olulise ohutegurina lendorava ellujäämise seisukohalt. Kiskluse mõju lendoravale peaks olema üks prioriteetseid küsimusi, et arendada sobivaid kaitsemeetmeid, sealhulgas elupaikade säilitamine ja juhtimine, et vähendada lendorava, kodukaku ja teiste röövloomade vahelisi negatiivseid interaktsioone. 

Seega on seotud ülesanne leida tasakaal, et tagada lendorava kaitse, arvestades kodukakkude ja teiste kiskjate kohalolekut, ning kaitsta lendoravade elupaiku, et ennetada populatsioonide langust ja nende ohtude suurenemist."
hallpea-rähn,Picus canus,III,https://infoleht.keskkonnainfo.ee/lnim/828213570,False,Lendorava_kaitse_tegevuskava_2023-2027_redigeeritud_versioon.pdf,Kaitsealune liik,Picus canus,hallpea-rähn,Grey-headed Woodpecker,Linnud,III kategooria,"Hallpea-rähn (Picus canus) on Eesti punase nimestiku järgi ohuvälises seisus ja arvatud looduskaitseseaduse alusel III kategooria kaitsealuste liikide hulka. Eestis eelistab pesitsemisel valgusrikkaid sega- ja okasmetsi, lodu-sanglepikuid, puisniite ning jõelamme. Väldib suuri metsamassiive, meelsamini otsib pesitsuspaigaks väiksema metsatuka, sageli vee läheduses. Eestis elab 2000-3000 paari.",Linnudirektiivi I lisa,6. Soodsas seisundis (30.03.2019),,,Kärevere looduskaitseala (KLO1000600) Urissaare hoiuala (KLO2000289) Nabala-Tuhala looduskaitseala (KLO1000634) Nätsi-Võlla looduskaitseala (KLO1000201) Maalasti looduskaitseala (KLO1000626) Nepstemurru looduskaitseala (KLO1000750) Keeri-Karijärve looduskaitseala (KLO1000285) Nigula looduskaitseala (KLO1000213) Lanksaare-Veelikse hoiuala (KLO2000252) Lavassaare looduskaitseala (KLO1000645) Vaskjõe looduskaitseala (KLO1000567) Alam-Pedja looduskaitseala (KLO1000455) Väinamere hoiuala (Läänemaa) (KLO2000241) Massiaru hoiuala (KLO2000297) Karula rahvuspark (KLO1000242) Siiraku looduskaitseala (KLO1000573) Sookuninga looduskaitseala (KLO1000317) Marimetsa looduskaitseala (KLO1000215) Kivikupitsa maastikukaitseala (KLO1000330) Haanja looduspark (KLO1000469) Endla looduskaitseala (KLO1000174) Otepää looduspark (KLO1000559) Alutaguse rahvuspark (KLO1000669) Tudusoo looduskaitseala (KLO1000277) Pärnu maastikukaitseala (KLO1000603) Jäärja hoiuala (KLO2000244) Avaste looduskaitseala (KLO1000464) Kiusumetsa hoiuala (KLO2000242) Mäeküla hoiuala (KLO2000280),,,,,,,,False,"Hallpea-rähn (Picus), samuti tuntud kui hallpea-rähn, esindab olulist osa metsade ökosüsteemist. Rähnid, sealhulgas hallpea-rähn, mängivad tähtsat rolli lendorava elutingimuste parandamisel, luues pesametsi, mis on tarvilikud lendorava püsielupaikade kaitseks. Maastiku kaitse ja säilitamine on hädavajalik, et toetada mitte ainult hallpea-rähni, vaid ka teisi metsas elavaid haruldasi ja ohustatud liike. Seega kaitstes hallpea-rähni, tagame samas ka mitmete teiste liikide, sealhulgas lendorava, elupaikade säilimise ja taastamise võimalused. Hallpea-rähn oma elupaikades, kus ta jagab ruumi paljude teiste liikidega,, on märk looduslikest protsessidest, mis toetavad elurikkust."
tamme-kirjurähn,Dendrocopos medius,III,https://infoleht.keskkonnainfo.ee/lnim/-1054143067,False,Kaitstavate_linnuliikide_pesitsuselupaikade_kaardistamise_ja_EELISesse_vormistamise_pohimotted.pdf,Kaitsealune liik,Dendrocoptes medius,tamme-kirjurähn,Middle Spotted Woodpecker,Linnud,III kategooria,,Linnudirektiivi I lisa,5. Ohulähedane (29.03.2019),,,Vana-Antsla mõisa park (KLO1200108),,,,,,,,False,"Tammekirjurähn (Dendrocopos medius) seondub mitmetesse elupaikadesse, sealhulgas vanametsaalades ja taluparkides. Ta kuulub ka elupaikade hulka koos teiste liikidega, nagu väike-kirjurähn, hoburästas ja roherähn. Tammekirjurähn, koos nimetatud liikidega, leiab endale sobiva elupaiga vähemalt 300 meetri raadiuses pesapaigast ning võib asuda ka kultuurmaistude aladel, nagu parkides ja metsatukkades.

Tema elupaikade hulka kuuluvad ka niidualad, mis ulatuvad kaugemale kui 500 meetrit niidukooslused, olles seega oluline liik, mis vajab kaitse tegevuskavasid ja sobivaid elupaiku, et tagada selle liikide elujõud."
väike-kirjurähn,Dendrocopos minor,III,https://infoleht.keskkonnainfo.ee/lnim/-1827429374,False,EE910_mgt180611.pdf,Kaitsealune liik,Dryobates minor,väike-kirjurähn,Lesser Spotted Woodpecker,Linnud,III kategooria,"Väike-kirjurähn (Dendrocopos minor) on Eestis üldlevinud väikesearvuline haudelind, kes elutseb leht- ja segametsades, eriti veekogudeäärsetes sanglepikutes, ka parkides ja suuremates aedades. Väike-kirjurähn on paigalind, kes vajab pesitsemiseks vanu pehkinud tüvega puid. Liigi arvukus on Eestis stabiilne (hinnanguliselt 5000 paari). Ohutegur on metsade majandamine. Eesti punase nimestiku järgi on lind ohuvälises seisus ning arvatud looduskaitseseaduse alusel vähenevate elupaikade ja väheneva arvukusega liigina III kategooria kaitsealuste liikide hulka.",,4. Ohualdis (29.03.2019),,,Otepää looduspark (KLO1000559) Tudusoo looduskaitseala (KLO1000277) Haavassoo looduskaitseala (KLO1000625) Lihula looduskaitseala (KLO1000747) Mullutu-Loode looduskaitseala (KLO1000739) Lahemaa rahvuspark (KLO1000511) Nigula looduskaitseala (KLO1000213) Võrsna hoiuala (KLO2000338) Nässuma hoiuala (KLO2000302) Tuhu looduskaitseala (KLO1000664) Puhtu-Laelatu looduskaitseala (KLO1000176) Tahula-Reo hoiuala (KLO2000333) Väinamere hoiuala (Läänemaa) (KLO2000241) Põduste-Upa hoiuala (KLO2000323) Karula rahvuspark (KLO1000242) Marimetsa looduskaitseala (KLO1000215),,,,,,,,False,"Väike-kirjurähn (Dendrocopus minor) pesitseb lehtmetsades, kus leidub rohkesti surnud puitu. Nigula looduskaitsealal on tähelepanu all väike-kirjurähni asurkondade suurus, mille kohta tehtud uuringud tuvastavad selle arvu vähenemise. 2013. aastal viidud linnustiku inventuuri kohaselt oli Nigula looduskaitsealal väike-kirjurähni arvukus 10 paari. Samuti on küpsetes okas- või segametsades, kus leidub õõnsustega puid, sobilikud elupaigad. Peamine oht väike-kirjurähnile on metsamajandusega kaasnev vanade metsade vähenemine ning sobivate pesapaikade kadumine. Üldiselt eelistab see liik penetada metsamassiivides, kus on rohkesti toidubaasi ning varju loovaid puid. Nigula kaitseala on oluline elupaik kaitsma väike-kirjurähni ja teisi linnuliike, tagades nende pesitsustingimuste säilitamise."
nõmmelõoke,Lullula arborea,III,https://infoleht.keskkonnainfo.ee/lnim/-1229762365,False,VTK_N%C3%B5mme_Mustam%C3%A4e_MKA.pdf,Kaitsealune liik,Lullula arborea,nõmmelõoke,Wood Lark,Linnud,III kategooria,"Nõmmelõoke (Lullula arborea) on Eesti punase nimestiku järgi ohuvälises seisus ja arvatud looduskaitseseaduse alusel III kategooria kaitsealuste liikide hulka. Pesitseb nõmmedel, nõmmemetsades, liivastel raiesmikel ja loometsades. Peamised ohutegurid on elupaikade hävimine metsamajandamise tulemusena ja maakasutuse muutused. Eestis pesitseb 1000-3000 paari.",Linnudirektiivi I lisa,,,,Tuhu hoiuala (Pärnu) (KLO2000278) Lahemaa rahvuspark (KLO1000511) Põhja-Kõrvemaa looduskaitseala (KLO1000598) Vormsi maastikukaitseala (KLO1000220) Tagamõisa hoiuala (KLO2000332) Keeri-Karijärve looduskaitseala (KLO1000285) Väinamere hoiuala (Läänemaa) (KLO2000241) Nõva-Osmussaare hoiuala (Läänemaa) (KLO2000166) Pakri maastikukaitseala (KLO1000113) Kaugatoma-Lõu maastikukaitseala (KLO1000487) Karula rahvuspark (KLO1000242) Marimetsa looduskaitseala (KLO1000215) Sarve maastikukaitseala (KLO1000158) Uulu-Võiste maastikukaitseala (KLO1000651) Haanja looduspark (KLO1000469) Endla looduskaitseala (KLO1000174) Kõnnumaa maastikukaitseala (KLO1000505) Alutaguse rahvuspark (KLO1000669) Tudusoo looduskaitseala (KLO1000277) Kõpu looduskaitseala (KLO1000570) Pärnu maastikukaitseala (KLO1000603) Tehumardi nõmme hoiuala (KLO2000334) Vilsandi rahvuspark (KLO1000250) Puhtu-Laelatu looduskaitseala (KLO1000176) Odalätsi maastikukaitseala (KLO1000590) Karala-Pilguse hoiuala (KLO2000310) Luitemaa looduskaitseala (KLO1000282) Kahtla-Kübassaare hoiuala (KLO2000309),,,,,,,,False,"Tekstist, mis on seotud linnuga 'nõmmelõoke' (Lullula arborea), on järgmised lõigud:

""Nõmmelõoke (Lullula arborea), lõopistrik (Falco majandamisest välja. Sellega kaitstakse ka elupaiku neile liikidele, kes ei suuda toime tulla vastuolus LKS §-s 55 sätestatud isendikaitse põhimõtetega. 

Eesmärgiks seatavate katusliikide, nende elupaikade ja liikide puhul kaitseala valitseja nõusolekul lubatud tegevusteks ja kaitseala valitseja subbuteo.""

Need lõigud viitavad nõmmelõokese kaitsele ning elupaikade säilitamisele, seadusandlikule raamistikule, mis seda kaitset tagab."
kaldapääsuke,Riparia riparia,III,https://infoleht.keskkonnainfo.ee/lnim/789876315,False,A2%20Paljassaare%20kaitsekorralduskava%2C%20projektiala%2038.pdf,Kaitsealune liik,Riparia riparia,kaldapääsuke,Sand Martin,Linnud,III kategooria,,,3. Väljasuremisohus (29.03.2019),"Kaldapääsukese arvukuse languse peapõhjuseks peetakse globaalsemat laadi kliimamuutusi: arvukus sõltub väga tugevalt sademete hulgast Niiluse jõe orus ja Ida-Aafrikas. Oma osa arvukuse vähenemises on suure tõenäosusega ka ülekarjatamisel, looduslike märgalade hävitamisel ja keskkonnamürkide laieneval kasutamisel Aafrika talvitusaladel. Eestis on ilmselt peamiseks reaalseks ohuks pesitsusaegne kolooniate hävitamine maavarade kaevandamise käigus.",,Kallaste hoiuala (KLO2000236) Väinamere hoiuala (Läänemaa) (KLO2000241),,,,,,,,False,"Kaldapääsuke (Riparia riparia) kasutab ala toitumisalana. Meelis mainib, et kaldapääsukestel puudub alal sobiv elupaik, seega ei ole seal kaldapääsukesi. Eelmisel aastal oli probleem ka külmunud pinnasega. Monika arutleb, et järgmise aasta linnustiku inventuur annab kindlasti hea ülevaate ja täpsustab, et loendurid jäävad sinna, et saavutada täpsemad arvud kaldapääsukeste ja muude linnuliikide kohta. Tänu loenduritele saab päris selge numbri kätte, kuid praegune riiklik seireprogramm ei hõlma kaldapääsukest, seega praegu saame ise inventuuri tellida."
suitsupääsuke,Hirundo rustica,III,https://infoleht.keskkonnainfo.ee/lnim/1704577474,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Hirundo rustica,suitsupääsuke,Barn Swallow,Linnud,III kategooria,,,3. Väljasuremisohus (30.03.2019),"Pesitsusaladel ohustab suitsupääsukest põllumajanduse intensiivistamine (sh. putukarikka mosaiikse talumaastiku asendumine suurpõldude ning monokultuuridega, loomakasvatuse koondumine suletud suurfarmidesse, putukate arvukuse vähenemine pestitsiidide kasutuselevõtu järel), sobilike pesapaikade vähenemine loomakasvatuse hääbumise tõttu taludes ning märgalade kvaliteedi langus.",,Küdema lahe hoiuala (KLO2000318),,,,,,,,False,
hänilane,Motacilla flava,III,https://infoleht.keskkonnainfo.ee/lnim/1793114119,False,Audru%20poldri%20looduskaitseala%20kaitsekorralduskava%20%28muudetud%29_0.pdf,Kaitsealune liik,Motacilla flava,hänilane,Yellow Wagtail,Linnud,III kategooria,,,2. Kriitilises seisundis (28.03.2019),"Peamiseks ohuks näib olevat sobivate elupaikade hääbumine. Kui varem oli hänilane tavaline peaaegu igal karjamaal ja sooniidul, siis tänapäeval kohtab teda vähestel säilinud niisketel pärandkooslustel, nagu jõeluhad või rannaniidud. Probleemi on põhjustanud eelkõige loomapidamise vähenemine ja rohumaade majandamisest väljalangemine, mistõttu heina- ja karjamaad võsastuvad.",,Järise hoiuala (KLO2000307) Audru poldri looduskaitseala (KLO1000632) Pärnu rannaniidu looduskaitseala (KLO1000584) Silma looduskaitseala (KLO1000197) Puhtu-Laelatu looduskaitseala (KLO1000176) Matsalu rahvuspark (KLO1000300) Laidevahe looduskaitseala (KLO1000512) Mullutu-Loode looduskaitseala (KLO1000739),,,,,,,,False,"Hänilane (Motacilla flava) on olnud seotud erinevate seireaastatega, sealhulgas 2014. ja 2020. aastal, kuid 2014. ja 2020. aastal ei ole selle liigi täpset arvu teada. Audru poldri looduskaitsealal on linnuliikide arvukuse seire olulise osa, kus seiratakse lisaks hanedele ja luikedele ka muid rändlinde, sealhulgas hänilasi. 

Kaitse-eesmärkide hulka kuulub ka selle liigi elupaikade kaitse. Audru poldri alal peavad pesitsejatel olema sobivad tingimused pesitsemiseks, sealhulgas nutikalt planeeritud niidukoosluste hooldamine, karjatamine ja niitmine. Hooldustööd on vajalikud, et tagada elupaikade säilimine ja edendada ohustatud liikide, näiteks kuldhänilase pesitsemise edendamist. 

Kaitse-eeskirja kohaselt tuleb ka tähelepanu pöörata linnukaitse tõhususele, et seal pesitsevatel lindudel, sealhulgas hanilastel, oleks tagatud rahulik ja turvaline elupaik. Sevena päeva loomadele tuleb tagada piisavalt eluruumi ja toitu, et toetada nende edasist elu ja rände ajaligoliksust. 

Kokkuvõtvalt on hänilane Audru poldri looduskaitsealal oluline liik, mille kaitse ja hoolsus seondub laiemate loodushoiu eesmärkidega ning elupaikade hooldamise ja taastamise praktikatega."
kuldhänilane,Motacilla citreola,III,https://infoleht.keskkonnainfo.ee/lnim/-23995938,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Motacilla citreola,kuldhänilane,Citrine Wagtail,Linnud,III kategooria,,,5. Ohulähedane (21.04.2019),Eestis ohustab kuldhänilast sobivate elupaikade kinnikasvamine ja kuivendamine. Seevastu näiteks rannaniidu hooldamine koos niiskete osade vabastamisega lausroostikust ning lõugaste veepeeglite avamisega loob liigile ideaalilähedased toitumistingimused.,,Pärnu rannaniidu looduskaitseala (KLO1000584),,,,,,,,False,
vesipapp,Cinclus cinclus,III,https://infoleht.keskkonnainfo.ee/lnim/785096743,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Cinclus cinclus,vesipapp,White-throated Dipper,Linnud,III kategooria,,,8. Mittehinnatav (30.03.2019),,,Odalätsi maastikukaitseala (KLO1000590),,,,,,,,False,
hoburästas,Turdus viscivorus,III,https://infoleht.keskkonnainfo.ee/lnim/111761906,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Turdus viscivorus,hoburästas,Mistle Thrush,Linnud,III kategooria,,Linnudirektiivi II lisa B osa,6. Soodsas seisundis (31.03.2019),"Hoburästa asurkonna seisundit mõjutab metsaraie, täpsemalt metsade vanuse alanemine. Liik talub küll mõõdukat hooldusraiet, kuid väldib pesitsusbiotoobina täielikult nooremaid puistuid. Samuti näib hoburästast negatiivselt mõjutavat kuuse ohtra järelkasvu lisandumine pärast metsakuivendustöid, võibolla ka ühtlaste männikulaamade killustumine.",,Haavassoo looduskaitseala (KLO1000625) Järise hoiuala (KLO2000307) Uulu-Võiste maastikukaitseala (KLO1000651) Avaste looduskaitseala (KLO1000464) Pärnu maastikukaitseala (KLO1000603),,,,,,,,False,
hallõgija,Lanius excubitor,III,https://infoleht.keskkonnainfo.ee/lnim/1988650828,False,EE905_mgt200114.pdf,Kaitsealune liik,Lanius excubitor,hallõgija,Great Grey Shrike,Linnud,III kategooria,"Hallõgija (Lanius excubitor) on kohatise levikuga stabiilse arvukusega haudelind, kes on Eesti punase nimestiku järgi ohulähedases seisus ning arvatud looduskaitseseaduse alusel vähenevate elupaikade ja väheneva arvukusega liigina III kaitsekategooria kaitsealuste liikide hulka.",,4. Ohualdis (27.03.2019),,,Marimetsa looduskaitseala (KLO1000215) Kõrvemaa maastikukaitseala (KLO1000265) Peipsiveere looduskaitseala (KLO1000624) Alutaguse rahvuspark (KLO1000669) Nätsi-Võlla looduskaitseala (KLO1000201) Lihula looduskaitseala (KLO1000747) Nigula looduskaitseala (KLO1000213) Lavassaare looduskaitseala (KLO1000645) Avaste looduskaitseala (KLO1000464) Tuhu looduskaitseala (KLO1000664) Alam-Pedja looduskaitseala (KLO1000455) Luitemaa looduskaitseala (KLO1000282) Väinamere hoiuala (Läänemaa) (KLO2000241),,,,,,,,False,"Hallõgija (Lanius excubitor) on Eestis vähearvukas (300–500 paari) haudelind, kes pesitseb rabades. Alam-Pedja LKA-l on hallõgija pesitsusaladel fikseeritud pesitsusaja arvukus neljast viiest haudepaarist. Inventuuri tulemusena on hallõgija arvukus Alam-Pedja LLA-l püsinud kõrgel tasemel ja vajadusel planeeritakse täiendavaid meetmeid tema kaitseks. Hallõgija toitumine põhineb putukatel ja taotleb sobivaid elupaiku, sealhulgas niidukooslusi ja avamaastikke. Pesitsusaegne häirimine on hallõgija korral oht, mistõttu on ka tema elupaikade kaitse moodustanud osa Alam-Pedja Looduskaitseala eesmärgist, mis keskendub ka teiste kaitsealuste liikide ning nende elupaikade hõlmamisele."
koldvint,Serinus serinus,III,https://infoleht.keskkonnainfo.ee/lnim/-1974113356,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Serinus serinus,koldvint,European Serin,Linnud,III kategooria,,,4. Ohualdis (01.05.2019),Eestis märkimisväärsed ohutegurid puuduvad.,,,,,,,,,,False,
